Sweep No, Initial Humans,Remaining Humans,Initial Vampires,Remaining Vampires
1,10,9,                1,2
2,10,7,                2,4
3,10,8,                3,4
4,10,9,                4,5
5,10,6,                5,9
6,11,10,                1,2
7,11,6,                2,7
8,11,8,                3,5
9,11,7,                4,8
10,11,7,                5,9
11,12,10,                1,3
12,12,11,                2,3
13,12,10,                3,5
14,12,9,                4,7
15,12,9,                5,8
16,13,12,                1,2
17,13,11,                2,4
18,13,9,                3,6
19,13,7,                4,10
20,13,6,                5,11
21,14,11,                1,4
22,14,10,                2,6
23,14,8,                3,9
24,14,6,                4,12
25,14,8,                5,11
26,15,14,                1,2
27,15,10,                2,5
28,15,9,                3,9
29,15,8,                4,11
30,15,3,                5,17
31,16,14,                1,2
32,16,13,                2,4
33,16,7,                3,12
34,16,11,                4,9
35,16,7,                5,14
36,17,14,                1,1
37,17,12,                2,6
38,17,11,                3,9
39,17,9,                4,12
40,17,15,                5,7
41,18,15,                1,3
42,18,15,                2,3
43,18,12,                3,8
44,18,9,                4,13
45,18,13,                5,10
46,19,16,                1,3
47,19,14,                2,6
48,19,11,                3,11
49,19,12,                4,10
50,19,6,                5,17
51,20,16,                1,5
52,20,15,                2,6
53,20,13,                3,10
54,20,12,                4,12
55,20,15,                5,10
56,21,16,                1,3
57,21,15,                2,5
58,21,11,                3,13
59,21,11,                4,14
60,21,13,                5,13
61,22,19,                1,2
62,22,19,                2,5
63,22,15,                3,9
64,22,7,                4,18
65,22,11,                5,16
66,23,19,                1,4
67,23,19,                2,6
68,23,15,                3,10
69,23,12,                4,14
70,23,14,                5,13
71,24,21,                1,3
72,24,21,                2,5
73,24,17,                3,9
74,24,12,                4,16
75,24,15,                5,14
76,25,17,                1,7
77,25,21,                2,6
78,25,20,                3,7
79,25,18,                4,11
80,25,15,                5,15
81,26,24,                1,2
82,26,20,                2,7
83,26,16,                3,11
84,26,13,                4,15
85,26,14,                5,16
86,27,23,                1,4
87,27,17,                2,10
88,27,15,                3,14
89,27,16,                4,15
90,27,10,                5,22
91,28,13,                1,14
92,28,11,                2,17
93,28,22,                3,9
94,28,15,                4,14
95,28,20,                5,8
96,29,23,                1,4
97,29,18,                2,11
98,29,21,                3,9
99,29,18,                4,13
100,29,16,                5,17
101,30,24,                1,2
102,30,25,                2,5
103,30,19,                3,13
104,30,15,                4,18
105,30,18,                5,16
106,31,25,                1,4
107,31,19,                2,13
108,31,14,                3,18
109,31,15,                4,15
110,31,13,                5,21
111,32,28,                1,4
112,32,23,                2,8
113,32,19,                3,15
114,32,13,                4,22
115,32,17,                5,18
116,33,26,                1,6
117,33,23,                2,11
118,33,22,                3,13
119,33,14,                4,23
120,33,22,                5,14
121,34,27,                1,5
122,34,20,                2,13
123,34,27,                3,8
124,34,17,                4,20
125,34,11,                5,28
126,35,23,                1,11
127,35,15,                2,20
128,35,23,                3,14
129,35,18,                4,21
130,35,21,                5,18
131,36,21,                1,14
132,36,18,                2,18
133,36,14,                3,22
134,36,24,                4,12
135,36,20,                5,19
136,37,26,                1,10
137,37,27,                2,4
138,37,18,                3,20
139,37,21,                4,18
140,37,14,                5,26
141,38,21,                1,15
142,38,28,                2,9
143,38,27,                3,11
144,38,16,                4,22
145,38,14,                5,29
146,39,34,                1,3
147,39,12,                2,27
148,39,27,                3,13
149,39,33,                4,8
150,39,23,                5,18
151,40,28,                1,8
152,40,21,                2,21
153,40,33,                3,6
154,40,26,                4,18
155,40,13,                5,31
